wafer_number, die_number, resistor_number, t_device_lifetime, t_fail, t_min, r_chuck, r_min, c_test

W4,I6,100,89.91471628189089,509.27875542640686,419.36403914451597,9.8777446747,8.7752571106,1
W4,N6,100,201.21752905845642,247.45256352424622,46.235034465789795,13.961029053,12.000274658,1
W4,N6,500,257.16942890167235,338.030677318573,80.86124841690064,13.955719948,11.720110893,1
W4,N6,0,148.6388384437561,177.02319860458374,28.384360160827637,13.808882713,12.530964851,1
W4,O6,100,5.6824032592773435,7.705052852630615,2.0226495933532713,15.40676403,15.012934685,1
W4,O6,500,49.130331974029545,55.6082067489624,6.477874774932861,15.311537743,14.649749756,1
W4,O7,100,20.466602745056154,27.144330501556396,6.677727756500244,15.038234711,14.332771301,1
W4,O7,500,63.570374422073364,73.26046061515808,9.690086193084717,15.205053329,14.464129448,1
W4,N7,100,191.70065083503724,254.01245713233948,62.31180629730225,13.860502243,11.764032364,1
W4,N7,500,215.59535841941835,286.79047560691833,71.1951171875,13.875860214,11.760987282,1
W4,N7,0,108.26967168807984,134.68310141563416,26.41342972755432,13.745700836,12.551042557,1
W4,O8,500,1.973293981552124,3.0087454319000244,1.0354514503479004,16.010307312,16.116424561,1
W4,O8,0,2.384185791015625e-06,2.384185791015625e-06,0,19.999576569,19.999576569,1
W4,N8,100,108.83711223602295,140.8197157382965,31.98260350227356,13.780641556,12.211876869,1
W4,N8,500,156.99817872047424,201.57149028778076,44.57331156730652,14.005583763,12.260157585,1
W4,N8,0,34.377959632873534,38.882479667663574,4.504520034790039,14.36711216,13.765583992,1
W4,P8,100,3.337860107421875e-06,3.337860107421875e-06,0,19.999607086,19.999607086,1
W4,P8,500,1.430511474609375e-06,1.430511474609375e-06,0,19.999706268,19.999706268,1
W4,P8,0,1.6689300537109375e-06,1.6689300537109375e-06,0,19.999607086,19.999607086,1
W4,P9,0,2.384185791015625e-06,2.384185791015625e-06,0,19.999637604,19.999637604,1
W4,P9,100,2.384185791015625e-06,2.384185791015625e-06,0,19.999605179,19.999605179,1
W4,P9,500,2.86102294921875e-06,2.86102294921875e-06,0,19.999593735,19.999593735,1
W4,O9,100,0.7956972122192383,0.7956972122192383,0,16.439569473,16.439569473,1
W4,O9,500,0.6469173431396484,0.6469173431396484,0,17.28286171,17.28286171,1
W4,O9,0,2.1457672119140625e-06,2.1457672119140625e-06,0,19.999631882,19.999631882,1
W4,N9,100,154.3913703727722,200.63354873657227,46.24217836380005,14.100557327,12.406574249,1
W4,N9,500,137.95688369750977,161.34341502189636,23.386531324386596,14.499167442,13.27039814,1
W4,N9,0,4.248948345184326,5.329923391342163,1.080975046157837,15.379448891,15.237116814,1
W4,N10,100,8.876083297729492,11.62686538696289,2.7507820892333985,15.199514389,14.831576347,1
W4,N10,500,1.1823000335693359,2.2218198776245117,1.0395198440551758,16.273878098,16.48541069,1
W4,N10,0,1.9073486328125e-06,1.9073486328125e-06,0,19.999597549,19.999597549,1
W4,N11,0,3.0994415283203125e-06,3.0994415283203125e-06,0,19.999578476,19.999578476,1
W4,N11,100,2.1457672119140625e-06,2.1457672119140625e-06,0,18.54942894,18.54942894,1
W4,N11,500,2.86102294921875e-06,2.86102294921875e-06,0,19.999448776,19.999448776,1
W4,M11,100,6.97400182723999,9.554819822311401,2.580817995071411,15.091273308,14.853143692,1
W4,M11,500,1.5962172031402588,2.6152992248535156,1.0190820217132568,16.31643486,16.539377213,1
W4,M11,0,1.9073486328125e-06,1.9073486328125e-06,0,19.607524872,19.607524872,1
W4,L11,100,52.58220095634461,68.07383632659912,15.491635370254517,14.128510475,12.937940598,1
W4,L11,500,46.456076259613035,57.19972562789917,10.743649368286134,14.793114662,14.123419762,1
W4,L11,0,0.9394605541229248,1.9523425102233887,1.0128819561004638,15.327987671,15.520228386,1
W4,M7,0,207.03466498851776,259.009605884552,51.97494089603424,12.908693314,10.768568993,1
W4,M8,100,160.35000438213348,257.54192757606506,97.19192319393159,12.638523102,10.820901871,1
W4,M8,500,146.1745263195038,231.06943488121033,84.89490856170654,13.117851257,11.102229118,1
W4,M8,0,72.00007318019867,109.59920406341553,37.59913088321686,13.275671959,11.462137222,1
W4,K11,0,8.349712805747986,16.260576725006104,7.910863919258118,14.147799492,13.376403809,1
W4,K11,500,69.42134143352509,93.07105755805969,23.649716124534606,14.262791634,12.722114563,1
W4,K11,100,52.14268940925598,75.30135130882263,23.15866189956665,13.702782631,12.105124474,1
W4,F12,0,2.384185791015625e-06,2.384185791015625e-06,0,18.010112762,18.010112762,1
